출발행정코드,출발도,출발시,출발동,출발 주소,도착행정코드,도착도,도착시,도착동,도착 주소,위도,경도
5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,,
5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,,
5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,,
5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,,
5011062000,제주특별자치도,제주시,봉개동,제주특별자치도 제주시 봉개동,5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,,
5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,4689025000,전라남도,완도군,완도읍,전라남도 완도군 완도읍,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,,
5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,,
5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,,
5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,,
5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,,
5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,,
5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,,
5011025600,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,,
5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,,
5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
