충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
위미의례회관,제주특별자치도 서귀포시 남원읍 중산간동로 6862,,1,단독,사용가능,2017
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,1,단독,사용가능,2017
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,2,단독,사용가능,2017
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,3,단독,사용가능,2017
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,4,단독,사용가능,2017
중문 관광단지,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,5,단독,사용가능,2017
표선 의례회관 앞 공영주차장,제주특별자치도 서귀포시 표선면 표선리 2103,,1,단독,사용가능,2017
회수사거리 인근 공영주차장,제주특별자치도 서귀포시 회수동 788-2,,1,단독,사용가능,2017
용암해수산업화지원센터,제주특별자치도 제주시 구좌읍 일주동로 2706-40,,1,단독,사용가능,2017
한국폴리텍대학 제주캠퍼스,제주특별자치도 제주시 산천단 동3길 2, 북쪽주차장 입구,1,단독,사용가능,2017
제주시 상하수도본부,제주특별자치도 제주시 조천읍 중산간동로 601,,1,단독,사용가능,2017
호텔시리우스,제주특별자치도 제주시 연동2334-4,,1,단독,사용가능,2018
㈜행운식품,제주특별자치도 제주시 조천읍 함덕리 906번지,,1,단독,사용가능,2018
봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로2660,,1,단독,사용가능,2018
클럽다인리조트,제주특별자치도 제주시 애월읍 애월해안로400-9,,1,단독,사용가능,2018
제주공항,제주특별자치도 제주시 용담2동 2002,,1,단독,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,1,단독,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,2,동시,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,3,단독,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,4,동시,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,52,동시,사용가능,2018
성산항 공영주차장,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",,54,동시,사용가능,2018
대정문화체육센터,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",,1,단독,충전중,2018
대정문화체육센터,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",,2,동시,사용가능,2018
대정문화체육센터,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",,52,동시,사용가능,2018
남원읍동부보건소,제주특별자치도 서귀포시 남원읍 태위로 527,", 본관 주차장",1,단독,사용가능,2018
돈내코야영장,제주특별자치도 서귀포시 돈내코로 114,", 본관주차장",1,단독,사용가능,2018
안덕면사무소,제주특별자치도 서귀포시 안덕면 화순서서로 74,", 본관 주차장",1,단독,사용가능,2018
제주국제컨벤션센터2,제주특별자치도 서귀포시 중문관광로 224,", 본관 주차장 면세점 앞 대형주차장",2,단독,사용가능,2018
구좌체육관,제주특별자치도 제주시 구좌읍 김녕로 209,", 구좌체육관 본관 주차장",1,단독,상태미확인,2018
제주해녀박물관,제주특별자치도 제주시 구좌읍 해녀박물관길 26,", 본관 주차장",1,단독,상태미확인,2018
제주노루생태공원,제주특별자치도 제주시 명림로 520,", 본관 주차장",1,단독,사용가능,2018
별빛누리공원,제주특별자치도 제주시 선돌목동길 60,", 본관 주차장",1,단독,충전중,2018
조천체육관,제주특별자치도 제주시 조천읍 조천18길 11-1,", 본관 주차장",1,단독,사용가능,2018
삼매봉도서관,제주특별자치도 서귀포시 남성중로 153번길 15,,1,단독,사용가능,2018
제주영어교육도시사무소,제주특별자치도 서귀포시 대정읍 에듀시티로 86,,1,단독,사용가능,2018
효돈동주민센터,제주특별자치도 서귀포시 남선동산로 26,효돈동주민센터(하효동 152-1),1,단독,사용가능,2018
