"운영기관","충전소","충전기ID","충전기타입","시설구분(대)","시설구분(소)","지역","시군구","주소","이용가능시간","이용자 제한","충전용량","편의제공","비고"
"서울시","50동부캠퍼스","01","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","02","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","03","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","04","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","05","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","06","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","07","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","08","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","09","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","10","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","11","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(50kW단독)","",""
"서울시","50동부캠퍼스","12","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(100kW단독)","",""
"서울시","50동부캠퍼스","13","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(100kW단독)","",""
"서울시","AI 체육센터","01","AC완속","공공시설","주민센터","서울특별시","서초구 ","서울특별시 서초구 태봉로 108 AI 체육센터","24시간 이용가능","","완속(7kW단독)","",""
"서울시","AI 체육센터","02","DC콤보","공공시설","주민센터","서울특별시","서초구 ","서울특별시 서초구 태봉로 108 AI 체육센터","24시간 이용가능","","급속(100kW단독)","",""
"서울시","SK허브수 인근 거주자우선주차장","01","AC완속","주차시설","공영주차장","서울특별시","구로구 ","서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장서부간선도로측 거주자우선주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","SK허브수 인근 거주자우선주차장","02","AC완속","주차시설","공영주차장","서울특별시","구로구 ","서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장서부간선도로측 거주자우선주차장","24시간 이용가능","","완속(7kW단독)","",""
"서울시","가산 공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","금천구 ","서울특별시 금천구 시흥대로153길 53 (가산동, 가산공영주차장) 지상 3층 옥상 진입로 왼쪽 10M","주중 08:00~19:00, 주말 09:00~18:00","","급속(50kW단독)","",""
"서울시","강남구 압구정 나들목 앞 가로등형 충전기","01","DC콤보","주차시설","일반주차장","서울특별시","강남구 ","서울특별시 강남구 압구정로 321 (서울특별시 강남구 선릉로189길 2 전기차충전소)압구정 나들 앞(선릉로 189길)","24시간 이용가능","","급속(50kW단독)","",""
"서울시","강남구 압구정 나들목 앞 가로등형 충전기","02","DC콤보","주차시설","일반주차장","서울특별시","강남구 ","서울특별시 강남구 압구정로 321 (서울특별시 강남구 선릉로189길 2 전기차충전소)압구정 나들 앞(선릉로 189길)","24시간 이용가능","","급속(50kW단독)","",""
